episodio,retorno_medio,retorno_ic95_lo,retorno_ic95_hi,td_medio,td_ic95_lo,td_ic95_hi
410,116.2994,107.5279,125.0708,0.731635,0.704866,0.758404
411,118.2931,109.6524,126.9339,0.723787,0.693782,0.753791
412,118.5895,108.9167,128.2623,0.723834,0.692792,0.754875
413,112.1003,101.5959,122.6047,0.749393,0.725221,0.773564
414,121.1598,112.4501,129.8694,0.746056,0.713590,0.778522
415,115.3144,106.7323,123.8964,0.720649,0.696897,0.744402
416,114.5691,106.7000,122.4382,0.731015,0.705312,0.756718
417,109.4468,101.6099,117.2838,0.715389,0.691674,0.739104
418,115.5052,107.2106,123.7998,0.724424,0.704858,0.743990
419,121.6102,109.2274,133.9931,0.728184,0.704601,0.751767
420,109.1048,98.2444,119.9652,0.741606,0.705148,0.778064
421,117.6068,108.1378,127.0757,0.737273,0.709204,0.765341
422,121.1485,110.1766,132.1204,0.723617,0.702497,0.744737
423,119.8216,110.1960,129.4473,0.716713,0.691475,0.741951
424,114.9068,105.6921,124.1216,0.740568,0.712914,0.768222
425,114.8211,106.4131,123.2291,0.729120,0.699251,0.758988
426,122.5587,111.2522,133.8652,0.714213,0.681928,0.746497
