episodio,retorno,c_medio,coste_medio,epsilon,error_TD_medio
359,86.1592,0.3146,5.1562,0.0200,0.866007
360,97.3149,0.3183,5.2658,0.0200,0.805936
361,95.2573,0.3256,5.1973,0.0200,0.681207
362,117.7780,0.3432,5.1699,0.0200,0.586940
363,123.7768,0.3346,5.0904,0.0200,0.730463
364,84.9928,0.3276,5.1260,0.0200,0.591229
365,87.4218,0.3371,5.3041,0.0200,0.680159
366,116.7775,0.3234,5.2356,0.0200,0.511974
367,88.3565,0.3431,5.1671,0.0200,0.603176
368,124.2067,0.3317,5.0767,0.0200,0.613003
369,100.3717,0.3298,5.1781,0.0200,0.663818
370,124.9259,0.3063,5.2000,0.0200,0.648734
371,145.6789,0.3234,5.0849,0.0200,0.618157
372,131.2244,0.3184,5.1973,0.0200,0.726451
373,111.6192,0.3199,5.1890,0.0200,0.746410
374,121.2564,0.3427,5.2247,0.0200,0.559585
375,79.9383,0.3431,5.1096,0.0200,0.641281
376,132.1636,0.3255,5.2301,0.0200,0.588261
377,127.6889,0.3253,5.1315,0.0200,0.810296
378,111.5626,0.3232,5.1589,0.0200,0.520990
379,115.2217,0.3378,5.1589,0.0200,0.664756
380,71.8833,0.3484,5.1397,0.0200,0.601371
381,124.7534,0.3393,5.2740,0.0200,0.643437
382,106.1092,0.3293,4.9918,0.0200,0.528398
383,87.8605,0.3383,5.1644,0.0200,0.621077
384,118.0496,0.3364,5.2192,0.0200,0.609462
385,111.2801,0.3304,5.2466,0.0200,0.826275
386,101.8053,0.3256,5.2055,0.0200,0.629687
387,127.5896,0.3338,5.0904,0.0200,0.695267
388,110.6338,0.3293,5.1452,0.0200,0.645679
389,95.2553,0.3362,5.1123,0.0200,0.677041
390,109.2427,0.3272,5.1699,0.0200,0.571238
391,117.2183,0.3261,5.1808,0.0200,0.719182
392,102.1371,0.3425,5.1918,0.0200,0.659395
393,82.5612,0.3385,5.2493,0.0200,0.720973
394,96.3068,0.3342,5.2740,0.0200,0.658054
395,111.9556,0.3106,5.1671,0.0200,0.593716
396,101.9698,0.3388,5.1123,0.0200,0.650921
397,108.0608,0.3308,5.2630,0.0200,0.588482
398,111.9998,0.3258,5.2137,0.0200,0.777589
399,133.7494,0.3391,5.0740,0.0200,0.565551
400,105.4482,0.3382,5.1123,0.0200,0.565725
401,151.3269,0.3320,5.2904,0.0200,0.609418
402,103.5512,0.3389,5.1315,0.0200,0.759403
403,115.4081,0.3359,5.1918,0.0200,0.538760
404,100.7952,0.3307,5.2329,0.0200,0.786465
405,141.0939,0.3306,5.3178,0.0200,0.657573
406,109.9550,0.3281,5.0740,0.0200,0.552068
407,87.3356,0.3338,5.1644,0.0200,0.619294
408,100.2270,0.3385,5.1014,0.0200,0.682201
409,103.3723,0.3325,5.1260,0.0200,0.617802
410,108.7243,0.2961,5.1753,0.0200,0.724937
411,95.9218,0.3240,5.1726,0.0200,0.642808
412,143.3207,0.3250,5.0767,0.0200,0.575014
413,122.1586,0.3268,5.1836,0.0200,0.619731
414,118.0951,0.3406,5.3068,0.0200,0.695198
415,147.1685,0.3363,5.1452,0.0200,0.634589
416,126.0048,0.3366,5.1863,0.0200,0.539359
417,142.4023,0.3342,5.2411,0.0200,0.621370
418,100.1101,0.3190,5.1918,0.0200,0.654778
419,135.6775,0.3269,5.0548,0.0200,0.663334
420,140.6020,0.3383,5.1233,0.0200,0.623061
