episodio,retorno,c_medio,coste_medio,epsilon,error_TD_medio
105,113.5009,0.3093,5.0959,0.0200,0.728064
106,-24.2060,0.3584,4.9671,0.0200,0.614038
107,67.5104,0.3453,5.1945,0.0200,0.778686
108,95.1110,0.3379,5.0849,0.0200,0.707153
109,60.1062,0.3495,5.0986,0.0200,0.641612
110,117.8188,0.3320,5.1014,0.0200,0.787086
111,152.6227,0.3180,5.1123,0.0200,0.658742
112,128.8068,0.3194,5.0877,0.0200,0.637842
113,124.9958,0.3386,5.1479,0.0200,0.635351
114,90.7883,0.3312,5.0658,0.0200,0.601510
115,64.2045,0.3434,5.0877,0.0200,0.696098
116,136.6255,0.3302,5.1014,0.0200,0.848065
117,115.0820,0.3034,5.0767,0.0200,0.745987
118,79.5227,0.3392,5.0822,0.0200,0.791253
119,116.5805,0.3311,5.1233,0.0200,0.597825
120,130.5196,0.3284,5.2301,0.0200,0.766517
121,142.0223,0.3261,5.0411,0.0200,0.693849
122,75.8572,0.3380,5.1315,0.0200,0.631485
123,77.9083,0.3409,5.0356,0.0200,0.560355
124,120.8403,0.3396,5.3342,0.0200,0.746622
125,110.7467,0.3289,5.2000,0.0200,0.651828
126,105.3582,0.3297,5.1507,0.0200,0.656244
127,73.5354,0.3375,5.1753,0.0200,0.785379
128,82.9903,0.3320,5.1068,0.0200,0.649236
129,78.2345,0.3296,5.3041,0.0200,0.773689
130,106.7892,0.3309,5.1534,0.0200,0.589753
131,91.1586,0.3403,5.2027,0.0200,0.668994
132,90.2467,0.3342,5.2247,0.0200,0.714338
133,146.4900,0.3278,5.0877,0.0200,0.663754
134,79.2174,0.3312,5.2164,0.0200,0.811833
135,124.0916,0.3204,5.1534,0.0200,0.500477
136,126.9192,0.3144,5.1452,0.0200,0.618784
137,83.2193,0.3402,5.2000,0.0200,0.741771
138,128.5146,0.3319,5.0521,0.0200,0.706520
139,111.8075,0.3177,5.2247,0.0200,0.480190
140,-6.1002,0.3581,5.0192,0.0200,0.592529
141,106.9551,0.3225,5.0438,0.0200,0.633256
142,124.5304,0.3207,5.2027,0.0200,0.664702
143,100.6050,0.3323,5.0712,0.0200,0.565459
144,126.7907,0.3360,5.1562,0.0200,0.731343
145,120.3201,0.3322,5.2137,0.0200,0.676276
146,107.4886,0.3106,5.1945,0.0200,0.700583
147,107.3557,0.3294,5.2849,0.0200,0.699971
148,109.5937,0.3331,5.0959,0.0200,0.784181
149,105.2390,0.3383,5.1644,0.0200,0.758033
150,99.0147,0.3326,5.0795,0.0200,0.727376
151,87.5277,0.3330,5.0630,0.0200,0.573260
152,124.7306,0.3344,5.0877,0.0200,0.667296
153,105.5127,0.3416,5.1534,0.0200,0.828673
154,125.6080,0.3293,5.1288,0.0200,0.749966
155,140.9619,0.3321,5.0411,0.0200,0.615748
156,148.1085,0.3329,5.1041,0.0200,0.794844
157,120.6066,0.2982,5.1918,0.0200,0.707891
158,102.0314,0.3410,5.1699,0.0200,0.710428
159,119.1145,0.3258,5.3151,0.0200,0.625846
160,56.0393,0.3422,5.1562,0.0200,0.582549
161,100.3921,0.3333,4.9973,0.0200,0.701984
162,145.7925,0.3036,5.1644,0.0200,0.724396
163,124.7377,0.3422,5.1562,0.0200,0.866703
164,80.9520,0.3352,5.1671,0.0200,0.664037
165,80.0890,0.3170,5.2685,0.0200,0.891015
166,115.8381,0.3321,5.1397,0.0200,0.641150
167,123.9037,0.3244,5.1589,0.0200,0.728613
168,143.7739,0.3305,5.1123,0.0200,0.714296
169,112.1881,0.3193,5.2082,0.0200,0.826644
170,97.2617,0.3319,5.1425,0.0200,0.743378
171,126.1565,0.3254,5.1699,0.0200,0.663720
172,73.9998,0.3478,5.0986,0.0200,0.493213
173,85.9203,0.3405,5.1452,0.0200,0.539283
174,104.4639,0.3388,5.2000,0.0200,0.687896
