estado,situacion_completa,fase,visitas,top1_accion,top1_prob,top1_coste,top2_accion,top2_prob,top2_coste,top3_accion,top3_prob,top3_coste
c=B dc=0 h=A dh=+ L=M dL=- preo=A,contagio Bajo (estable); hospital Alto (sube); restriccion Medio (baja); cumplimiento Alto,emergencia,3729,"(0, 2, 2, 0)",0.0634,4.0,"(2, 0, 0, 2)",0.0458,6.0,"(2, 0, 2, 1)",0.0397,6.0
c=B dc=0 h=A dh=+ L=M dL=0 preo=B,contagio Bajo (estable); hospital Alto (sube); restriccion Medio (estable); cumplimiento Bajo,emergencia,175,"(2, 2, 0, 1)",0.9978,6.0,"(0, 0, 2, 1)",0.0011,4.0,"(1, 2, 1, 0)",0.0009,4.0
c=B dc=0 h=A dh=+ L=M dL=0 preo=M,contagio Bajo (estable); hospital Alto (sube); restriccion Medio (estable); cumplimiento Medio,emergencia,238,"(1, 2, 2, 1)",0.9976,7.0,"(0, 0, 2, 0)",0.0007,2.0,"(1, 2, 1, 2)",0.0007,8.0
c=B dc=0 h=A dh=+ L=M dL=0 preo=A,contagio Bajo (estable); hospital Alto (sube); restriccion Medio (estable); cumplimiento Alto,emergencia,257,"(1, 0, 1, 1)",0.1400,4.0,"(1, 1, 1, 0)",0.0691,3.0,"(0, 2, 0, 1)",0.0493,4.0
c=B dc=0 h=A dh=+ L=M dL=+ preo=B,contagio Bajo (estable); hospital Alto (sube); restriccion Medio (sube); cumplimiento Bajo,emergencia,564,"(2, 2, 2, 2)",0.9564,10.0,"(1, 1, 2, 0)",0.0358,4.0,"(1, 2, 1, 0)",0.0012,4.0
c=B dc=0 h=A dh=+ L=M dL=+ preo=M,contagio Bajo (estable); hospital Alto (sube); restriccion Medio (sube); cumplimiento Medio,emergencia,104,"(2, 1, 0, 2)",0.9958,7.0,"(0, 0, 1, 2)",0.0023,5.0,"(1, 1, 0, 1)",0.0011,4.0
c=B dc=0 h=A dh=+ L=M dL=+ preo=A,contagio Bajo (estable); hospital Alto (sube); restriccion Medio (sube); cumplimiento Alto,emergencia,753,"(0, 1, 0, 2)",0.1152,5.0,"(2, 1, 0, 0)",0.0793,3.0,"(1, 0, 1, 2)",0.0641,6.0
c=B dc=0 h=A dh=+ L=A dL=- preo=B,contagio Bajo (estable); hospital Alto (sube); restriccion Alto (baja); cumplimiento Bajo,emergencia,40,"(1, 1, 2, 1)",0.9998,6.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 2)",0.0000,5.0
c=B dc=0 h=A dh=+ L=A dL=- preo=M,contagio Bajo (estable); hospital Alto (sube); restriccion Alto (baja); cumplimiento Medio,emergencia,33,"(1, 0, 0, 0)",0.9985,1.0,"(0, 1, 1, 0)",0.0007,2.0,"(2, 2, 2, 2)",0.0000,10.0
c=B dc=0 h=A dh=+ L=A dL=- preo=A,contagio Bajo (estable); hospital Alto (sube); restriccion Alto (baja); cumplimiento Alto,emergencia,1090,"(2, 1, 2, 2)",0.0954,9.0,"(1, 0, 0, 0)",0.0586,1.0,"(0, 2, 2, 2)",0.0461,8.0
c=B dc=0 h=A dh=+ L=A dL=0 preo=B,contagio Bajo (estable); hospital Alto (sube); restriccion Alto (estable); cumplimiento Bajo,emergencia,40,"(0, 2, 0, 1)",0.9994,4.0,"(1, 1, 1, 0)",0.0000,3.0,"(0, 2, 1, 0)",0.0000,3.0
c=B dc=0 h=A dh=+ L=A dL=0 preo=M,contagio Bajo (estable); hospital Alto (sube); restriccion Alto (estable); cumplimiento Medio,emergencia,24,"(2, 2, 2, 0)",0.9999,6.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 2)",0.0000,5.0
