estado,situacion_completa,fase,visitas,top1_accion,top1_prob,top1_coste,top2_accion,top2_prob,top2_coste,top3_accion,top3_prob,top3_coste
c=B dc=0 h=A dh=0 L=M dL=+ preo=A,contagio Bajo (estable); hospital Alto (estable); restriccion Medio (sube); cumplimiento Alto,emergencia,824,"(1, 2, 2, 1)",0.2030,7.0,"(2, 1, 0, 0)",0.0662,3.0,"(0, 0, 0, 0)",0.0621,0.0
c=B dc=0 h=A dh=0 L=A dL=- preo=B,contagio Bajo (estable); hospital Alto (estable); restriccion Alto (baja); cumplimiento Bajo,emergencia,71,"(2, 0, 0, 2)",0.9998,6.0,"(2, 2, 2, 2)",0.0000,10.0,"(0, 2, 0, 2)",0.0000,6.0
c=B dc=0 h=A dh=0 L=A dL=- preo=M,contagio Bajo (estable); hospital Alto (estable); restriccion Alto (baja); cumplimiento Medio,emergencia,30,"(0, 2, 0, 2)",0.9954,6.0,"(1, 1, 1, 0)",0.0001,3.0,"(0, 2, 1, 0)",0.0001,3.0
c=B dc=0 h=A dh=0 L=A dL=- preo=A,contagio Bajo (estable); hospital Alto (estable); restriccion Alto (baja); cumplimiento Alto,emergencia,924,"(1, 0, 1, 1)",0.2256,4.0,"(0, 2, 2, 1)",0.0591,6.0,"(2, 0, 0, 1)",0.0459,4.0
c=B dc=0 h=A dh=0 L=A dL=0 preo=B,contagio Bajo (estable); hospital Alto (estable); restriccion Alto (estable); cumplimiento Bajo,emergencia,66,"(0, 0, 1, 0)",0.9996,1.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 2)",0.0000,5.0
c=B dc=0 h=A dh=0 L=A dL=0 preo=M,contagio Bajo (estable); hospital Alto (estable); restriccion Alto (estable); cumplimiento Medio,emergencia,41,"(1, 2, 1, 0)",0.9852,4.0,"(0, 0, 1, 1)",0.0097,3.0,"(0, 0, 2, 0)",0.0037,2.0
c=B dc=0 h=A dh=0 L=A dL=0 preo=A,contagio Bajo (estable); hospital Alto (estable); restriccion Alto (estable); cumplimiento Alto,emergencia,220,"(2, 1, 1, 0)",0.3437,4.0,"(0, 2, 0, 0)",0.0493,2.0,"(1, 1, 0, 0)",0.0462,2.0
c=B dc=0 h=A dh=0 L=A dL=+ preo=B,contagio Bajo (estable); hospital Alto (estable); restriccion Alto (sube); cumplimiento Bajo,emergencia,719,"(1, 1, 0, 0)",0.8418,2.0,"(1, 0, 0, 0)",0.1327,1.0,"(1, 0, 1, 2)",0.0170,6.0
c=B dc=0 h=A dh=0 L=A dL=+ preo=M,contagio Bajo (estable); hospital Alto (estable); restriccion Alto (sube); cumplimiento Medio,emergencia,731,"(0, 2, 2, 1)",0.9872,6.0,"(2, 2, 1, 2)",0.0031,9.0,"(1, 1, 1, 2)",0.0024,7.0
c=B dc=0 h=A dh=0 L=A dL=+ preo=A,contagio Bajo (estable); hospital Alto (estable); restriccion Alto (sube); cumplimiento Alto,emergencia,1655,"(1, 2, 2, 2)",0.2516,9.0,"(2, 0, 2, 1)",0.0772,6.0,"(0, 1, 1, 2)",0.0712,6.0
c=B dc=0 h=A dh=+ L=B dL=- preo=B,contagio Bajo (estable); hospital Alto (sube); restriccion Bajo (baja); cumplimiento Bajo,emergencia,425,"(1, 2, 2, 2)",0.9992,9.0,"(2, 0, 2, 1)",0.0003,6.0,"(0, 0, 0, 0)",0.0002,0.0
c=B dc=0 h=A dh=+ L=B dL=- preo=M,contagio Bajo (estable); hospital Alto (sube); restriccion Bajo (baja); cumplimiento Medio,emergencia,302,"(1, 2, 2, 1)",0.9889,7.0,"(0, 2, 1, 1)",0.0037,5.0,"(0, 1, 2, 1)",0.0029,5.0
c=B dc=0 h=A dh=+ L=B dL=- preo=A,contagio Bajo (estable); hospital Alto (sube); restriccion Bajo (baja); cumplimiento Alto,emergencia,1805,"(0, 2, 1, 1)",0.1536,5.0,"(1, 2, 1, 0)",0.0698,4.0,"(1, 1, 1, 0)",0.0446,3.0
c=B dc=0 h=A dh=+ L=B dL=0 preo=B,contagio Bajo (estable); hospital Alto (sube); restriccion Bajo (estable); cumplimiento Bajo,emergencia,8,"(1, 0, 1, 1)",0.9999,4.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 1)",0.0000,3.0
c=B dc=0 h=A dh=+ L=B dL=0 preo=M,contagio Bajo (estable); hospital Alto (sube); restriccion Bajo (estable); cumplimiento Medio,emergencia,6,"(0, 2, 0, 0)",0.8648,2.0,"(1, 2, 0, 1)",0.0032,5.0,"(2, 2, 2, 2)",0.0017,10.0
c=B dc=0 h=A dh=+ L=B dL=0 preo=A,contagio Bajo (estable); hospital Alto (sube); restriccion Bajo (estable); cumplimiento Alto,emergencia,31,"(2, 2, 1, 0)",0.5559,5.0,"(1, 2, 0, 1)",0.0222,5.0,"(2, 2, 2, 2)",0.0055,10.0
c=B dc=0 h=A dh=+ L=B dL=+ preo=B,contagio Bajo (estable); hospital Alto (sube); restriccion Bajo (sube); cumplimiento Bajo,emergencia,9,"(2, 0, 0, 1)",0.9999,4.0,"(2, 2, 2, 2)",0.0000,10.0,"(0, 2, 0, 2)",0.0000,6.0
c=B dc=0 h=A dh=+ L=B dL=+ preo=M,contagio Bajo (estable); hospital Alto (sube); restriccion Bajo (sube); cumplimiento Medio,emergencia,4,"(1, 1, 0, 0)",0.1528,2.0,"(2, 2, 2, 2)",0.0106,10.0,"(1, 0, 0, 2)",0.0106,5.0
c=B dc=0 h=A dh=+ L=B dL=+ preo=A,contagio Bajo (estable); hospital Alto (sube); restriccion Bajo (sube); cumplimiento Alto,emergencia,15,"(2, 2, 2, 0)",0.0613,6.0,"(2, 2, 2, 2)",0.0120,10.0,"(1, 0, 1, 1)",0.0120,4.0
c=B dc=0 h=A dh=+ L=M dL=- preo=B,contagio Bajo (estable); hospital Alto (sube); restriccion Medio (baja); cumplimiento Bajo,emergencia,687,"(1, 2, 0, 2)",0.9869,7.0,"(2, 0, 2, 0)",0.0063,4.0,"(0, 0, 0, 1)",0.0036,2.0
c=B dc=0 h=A dh=+ L=M dL=- preo=M,contagio Bajo (estable); hospital Alto (sube); restriccion Medio (baja); cumplimiento Medio,emergencia,1998,"(0, 1, 2, 2)",0.7398,7.0,"(2, 2, 2, 1)",0.0857,8.0,"(1, 0, 1, 0)",0.0248,2.0
